,section,time,title,url
407,Sport,2022-06-26T09:00:39Z,"Martina Navratilova: ‘I try to do the right thing, not the popular thing’",https://www.theguardian.com/sport/2022/jun/26/martina-navratilova-do-the-right-thing-interview
163,US news,2022-07-24T06:00:03Z,Texas lawmakers test how far their threats against abortions can reach,https://www.theguardian.com/us-news/2022/jul/23/texas-republican-lawmakers-legal-threats-abortions
167,World news,2022-07-12T14:31:11Z,"US law overrules states on abortions in medical emergencies, health secretary says",https://www.theguardian.com/world/2022/jul/12/us-law-will-overrule-states-emergency-abortions
492,US news,2022-09-22T10:14:44Z,Do the latest legal woes spell the end for Donald Trump? | First Thing,https://www.theguardian.com/us-news/2022/sep/22/first-thing-do-the-latest-legal-woes-spell-the-end-for-donald-trump
206,Politics,2022-09-07T09:38:02Z,Thérèse Coffey defends Truss against ‘cabinet of chums’ charge,https://www.theguardian.com/politics/2022/sep/07/therese-coffey-defends-truss-against-cabinet-of-chums-charge
188,Opinion,2022-07-03T06:30:07Z,Danny Kruger has been hiding his real talent – he knows what women want | Catherine Bennett,https://www.theguardian.com/commentisfree/2022/jul/03/danny-kruger-has-been-hiding-his-real-talent-he-knows-what-woman-want
507,Opinion,2022-07-28T10:22:03Z,Chile is updating its constitution for the 21st century. The US should follow its lead,https://www.theguardian.com/commentisfree/2022/jul/28/chile-updating-constitution-us-should-follow
324,Australia news,2022-07-28T07:42:50Z,‘Final straw’: former Victorian Liberal MP quits party after Moira Deeming preselection,https://www.theguardian.com/australia-news/2022/jul/28/final-straw-former-victorian-liberal-mp-quits-party-after-moira-deeming-preselection
145,Global development,2022-06-28T05:00:07Z,"‘If you love or are a woman, don’t go to Malta,’ say couple in abortion drama ",https://www.theguardian.com/global-development/2022/jun/28/if-you-love-or-are-a-woman-dont-go-to-malta-say-couple-in-abortion-drama
383,Film,2022-09-08T17:00:09Z,"Blonde review – Some like it rotten: Monroe biopic is moving, explicit and intensely irritating",https://www.theguardian.com/film/2022/sep/08/blonde-review-some-like-it-rotten-monroe-biopic-is-moving-explicit-and-intensely-irritating
226,Opinion,2022-09-10T13:00:03Z,New ‘objective’ CNN appears to be making itself objectively rightwing,https://www.theguardian.com/commentisfree/2022/sep/10/objective-cnn-rightwing-week-in-patriarchy
216,Opinion,2022-08-01T10:22:20Z,This summer may be one of the most consequential in US democracy | Thomas Zimmer,https://www.theguardian.com/commentisfree/2022/aug/01/us-democracy-summer-most-consequential
481,World news,2022-07-01T19:00:24Z,"‘Free healthcare, bad Mexican food’: what life is really like for US expats in New Zealand",https://www.theguardian.com/world/2022/jul/02/free-healthcare-bad-mexican-food-what-life-is-really-like-for-us-expats-in-new-zealand
504,Australia news,2022-08-02T20:59:31Z,"Morning mail: Greens in ‘powerful position’ on climate, call for ‘virtual’ nurses, US house speaker visits Taiwan",https://www.theguardian.com/australia-news/2022/aug/03/morning-mail-greens-in-powerful-position-on-climate-call-for-virtual-nurses-nancy-pelosi-visits-taiwan
298,US news,2022-08-16T20:11:58Z,Biden hails ‘biggest step forward on climate ever’ as he signs Inflation Reduction Act – as it happened,https://www.theguardian.com/us-news/live/2022/aug/16/biden-climate-healthcare-bill-inflation-reduction-act-democrats-us-politics-latest
572,World news,2022-09-20T05:54:40Z,Tuesday briefing: Five big stories as Britain returns to normal,https://www.theguardian.com/world/2022/sep/20/tuesday-briefing-five-big-stories-as-britain-returns-to-normal
417,Music,2022-07-21T18:59:28Z,Billie Eilish: Guitar Songs EP review – engulfed in the horror and hope of 2022,https://www.theguardian.com/music/2022/jul/21/billie-eilish-guitar-songs-ep-review-developing-at-warp-speed
575,Books,2022-09-10T08:00:03Z,"Author Orhan Pamuk: ‘I used to have three bodyguards, now I have one’",https://www.theguardian.com/books/2022/sep/10/author-orhan-pamuk-i-used-to-have-three-bodyguards-now-i-have-one
457,UK news,2022-09-18T19:54:25Z,World leaders arrive to pay last respects to Queen as nation waits,https://www.theguardian.com/uk-news/2022/sep/18/world-leaders-arrive-pay-respects-queen-nation-waits-funeral
175,US news,2022-06-26T20:28:54Z,Many US companies move to pay travel costs for employees seeking abortions,https://www.theguardian.com/us-news/2022/jun/26/us-companies-pay-travel-costs-for-employees-seeking-abortions
538,US news,2022-07-20T11:23:24Z,First Thing: Biden under pressure to declare US climate emergency,https://www.theguardian.com/us-news/2022/jul/20/first-thing-biden-under-pressure-to-declare-us-climate-emergency
498,Books,2022-09-12T03:44:39Z,From Brian Cox to burnout: six things we learned at Melbourne writers’ festival,https://www.theguardian.com/books/2022/sep/12/from-brian-cox-to-burnout-six-things-we-learned-at-melbourne-writers-festival
229,US news,2022-08-31T05:00:21Z,Kellyanne Conway to Republicans who want to dump Trump: ‘You first’,https://www.theguardian.com/us-news/2022/aug/30/kellyanne-conway-republicans-trump-fox-news
579,World news,2022-08-22T05:30:23Z,Monday briefing: Italy’s political dysfunction opens the door to a far-right prime minister,https://www.theguardian.com/world/2022/aug/22/first-edition-giorgia-meloni-italy-election
280,US news,2022-08-18T10:00:43Z,Democratic boot camp: party intensifies local tactics ahead of midterms,https://www.theguardian.com/us-news/2022/aug/18/democrats-local-races-elections-midterms
409,Books,2022-07-15T09:00:34Z,Tahmima Anam: ‘A lot of my feminist rage was born when I read The Bell Jar’ ,https://www.theguardian.com/books/2022/jul/15/tahmima-anam-a-lot-of-my-feminist-rage-was-born-when-i-read-the-bell-jar
228,US news,2022-07-08T05:00:29Z,‘It’s incredibly far-reaching’: medical students on the Roe reversal,https://www.theguardian.com/us-news/2022/jul/08/roe-v-wade-reversal-medical-students
100,Law,2022-06-26T07:00:38Z,‘A mockery of democracy’: US supreme court in question after abortion ruling,https://www.theguardian.com/law/2022/jun/26/us-supreme-court-abortion-ruling-democracy
